"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
U2653,27,Vancouver/Canada,66,No,None,0.35,258,Linear,25,2962.16,9095.8,Music,Early Access,Interface Complexity,No,Bot
U2241,46,Berlin/Germany,1068,No,None,1.24,3974,Linear,13,2040.52,4148.46,Music,Early Access,Interface Complexity,Maybe,Scalper
U2081,39,London/UK,351,Yes,State ID,3.46,2494,Linear,12,2364.17,4664.47,Music,Face-value Resale,High Prices,No,Scalper
U1337,32,Singapore/Singapore,140,Yes,Driver's License,5.32,8115,Natural,3,788.44,800,Music,Group Booking,High Prices,Yes,Fan
U1790,36,Austin/USA,356,Yes,Passport,3.36,3000,Natural,3,214.45,305.02,Music,Face-value Resale,High Prices,Yes,Fan
U1330,35,Tokyo/Japan,1376,Yes,National ID,5.19,11298,Natural,1,174.15,231.89,Music,Group Booking,High Prices,Maybe,Fan
U2106,41,Amsterdam/Netherlands,545,Yes,State ID,1.91,3510,Linear,18,2745.17,5884.73,Sports,Early Access,Interface Complexity,No,Scalper
U2052,29,Mexico City/Mexico,412,No,None,0.78,2694,Erratic,23,1700.77,3842.71,Sports,Early Access,High Prices,No,Scalper
U1208,26,Madrid/Spain,900,Yes,Passport,5.22,4190,Natural,1,320.9,351.6,Music,Face-value Resale,Bot Competition,Yes,Fan
U2729,29,London/UK,100,No,None,0.57,115,Linear,65,6386.36,15000,Sports,Early Access,Bot Competition,No,Bot
U2620,23,London/UK,46,No,None,0.1,90,Linear,63,2355.43,6562.02,Sports,Early Access,Bot Competition,No,Bot
U1905,27,London/UK,880,Yes,State ID,2.45,8779,Natural,3,709.85,800,Theatre,Early Access,Bot Competition,Maybe,Fan
U2170,23,Los Angeles/USA,835,Yes,Driver's License,4.09,2595,Linear,10,2236.67,5388.16,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U1023,25,Amsterdam/Netherlands,924,Yes,Passport,7.28,3131,Natural,5,129.71,143.84,Sports,Group Booking,Bot Competition,Yes,Fan
U2913,28,Amsterdam/Netherlands,156,No,None,0.23,144,Linear,34,5735.91,15000,Music,Face-value Resale,Bot Competition,Maybe,Bot
U1631,24,New York/USA,862,Yes,National ID,5.03,10969,Natural,3,164,297,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2450,25,Seoul/South Korea,427,Yes,State ID,2.67,3472,Erratic,22,2481.04,5679.39,Theatre,Early Access,Interface Complexity,No,Scalper
U1479,34,Mumbai/India,857,Yes,Passport,5.9,9127,Natural,1,324.7,409.63,Music,Group Booking,Bot Competition,Maybe,Fan
U2788,26,Mexico City/Mexico,156,Yes,State ID,0.34,85,Linear,44,6382.24,15000,Music,Early Access,Bot Competition,No,Bot
U2099,35,Melbourne/Australia,661,No,None,2.11,4565,Erratic,14,3348.43,7579.03,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U1620,36,Vancouver/Canada,791,Yes,Passport,5.39,7570,Natural,1,347.41,493.14,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1343,25,Singapore/Singapore,834,Yes,National ID,4.39,7597,Natural,4,229.09,263.36,Theatre,Group Booking,Interface Complexity,Yes,Fan
U2160,27,Seoul/South Korea,515,Yes,State ID,5.32,2086,Erratic,27,2983.85,6129.47,Theatre,Face-value Resale,Bot Competition,No,Scalper
U1154,43,Austin/USA,788,Yes,National ID,5.81,12511,Natural,7,332.01,375.24,Sports,Face-value Resale,High Prices,Maybe,Fan
U2057,25,Chicago/USA,173,Yes,National ID,3.93,1515,Erratic,23,2743.43,5512.92,Theatre,Early Access,High Prices,No,Scalper
U2759,29,Chicago/USA,101,Yes,National ID,0.5,243,Linear,48,3332.7,10578.28,Sports,Early Access,Bot Competition,No,Bot
U2998,27,Chicago/USA,112,No,None,0.29,353,Linear,52,4645.21,14117.47,Theatre,Early Access,Bot Competition,No,Bot
U1747,38,Dubai/UAE,1100,Yes,National ID,4.47,11210,Natural,5,271.89,297.51,Theatre,Face-value Resale,Interface Complexity,Maybe,Fan
U1161,20,São Paulo/Brazil,90,Yes,Driver's License,5.02,10059,Natural,1,238.25,383.08,Sports,Group Booking,Interface Complexity,Yes,Fan
U1873,31,Austin/USA,940,Yes,Driver's License,3.99,3657,Natural,4,648.94,800,Sports,Group Booking,Bot Competition,Maybe,Fan
U2910,24,Mumbai/India,139,No,None,0.59,222,Linear,48,5040.72,15000,Sports,Early Access,Bot Competition,No,Bot
U2538,32,New York/USA,312,Yes,Passport,3.54,3020,Linear,13,2284.75,4389.44,Music,Early Access,Interface Complexity,No,Scalper
U2980,25,Paris/France,164,Yes,National ID,0.35,146,Linear,26,5569.89,15000,Sports,Early Access,Bot Competition,Maybe,Bot
U1361,35,Toronto/Canada,770,Yes,National ID,4.99,9176,Natural,4,271.38,391.88,Sports,Group Booking,Bot Competition,Yes,Fan
U1969,22,Sydney/Australia,762,Yes,State ID,4.29,3964,Natural,1,311.87,478.42,Theatre,Early Access,High Prices,Yes,Fan
U2105,37,Amsterdam/Netherlands,682,Yes,National ID,0.5,3440,Linear,19,3039.47,6839.12,Sports,Early Access,High Prices,Maybe,Scalper
U1351,34,Berlin/Germany,1339,Yes,Driver's License,3.17,7710,Natural,2,137.79,220.64,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2442,35,Toronto/Canada,618,Yes,National ID,3.93,1784,Erratic,20,2677.95,5673.8,Music,Early Access,Interface Complexity,Maybe,Scalper
U1887,23,Mumbai/India,1140,Yes,National ID,5.42,10483,Natural,4,70.35,86.06,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U2007,42,Mumbai/India,604,Yes,Driver's License,3.21,3998,Linear,24,3447.31,7385.27,Sports,Early Access,Bot Competition,Maybe,Scalper
U2244,39,Mexico City/Mexico,630,Yes,Passport,0.71,1363,Erratic,21,2366.71,5443.39,Sports,Early Access,Interface Complexity,Maybe,Scalper
U1384,18,Sydney/Australia,1185,Yes,Driver's License,4.79,3968,Natural,3,474.31,678.08,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1016,30,Berlin/Germany,528,Yes,Driver's License,2.92,9104,Natural,4,465.09,678.84,Music,Face-value Resale,High Prices,Maybe,Fan
U1465,21,Singapore/Singapore,466,Yes,Driver's License,5.3,9244,Natural,5,396.84,668.13,Music,Early Access,Interface Complexity,Yes,Fan
U1841,26,London/UK,963,Yes,Driver's License,5.71,6685,Natural,2,160.31,262.84,Music,Early Access,High Prices,Maybe,Fan
U1992,30,Paris/France,698,Yes,National ID,3.18,5038,Natural,4,379.94,397.36,Sports,Group Booking,Interface Complexity,Yes,Fan
U2786,35,Toronto/Canada,255,No,None,1.27,288,Linear,34,5104.63,15000,Sports,Early Access,Bot Competition,No,Bot
U2380,29,Chicago/USA,453,Yes,State ID,0.74,1328,Linear,24,3028.47,7070.95,Theatre,Early Access,High Prices,No,Scalper
U1971,24,Los Angeles/USA,524,Yes,Driver's License,3.98,7203,Natural,4,465.17,584.98,Music,Face-value Resale,High Prices,Yes,Fan
U2921,35,São Paulo/Brazil,107,No,None,0.56,228,Linear,36,3155.47,9462.96,Sports,Early Access,Bot Competition,No,Bot
U1698,27,Paris/France,807,Yes,Passport,2,8145,Natural,1,429.55,670.59,Music,Face-value Resale,Bot Competition,Yes,Fan
U1393,31,Seoul/South Korea,333,Yes,Driver's License,6.92,11026,Natural,3,221.59,338.03,Music,Early Access,Bot Competition,Yes,Fan
U1962,19,Singapore/Singapore,577,Yes,National ID,4.9,6655,Natural,6,559.24,743.28,Sports,Face-value Resale,High Prices,Yes,Fan
U1282,42,Sydney/Australia,1343,Yes,State ID,3.1,8341,Natural,1,314,372.62,Sports,Face-value Resale,Interface Complexity,Yes,Fan
U1092,46,New York/USA,871,Yes,Driver's License,4.83,9319,Natural,4,339.64,491.02,Sports,Group Booking,High Prices,Yes,Fan
U1563,29,London/UK,376,Yes,State ID,4.9,5182,Natural,7,514.31,688.04,Theatre,Early Access,Interface Complexity,Yes,Fan
U1836,24,London/UK,1043,Yes,Passport,3.81,8181,Natural,1,818.58,800,Theatre,Early Access,Bot Competition,Yes,Fan
U1660,31,Sydney/Australia,904,Yes,State ID,4.67,6510,Natural,2,104.02,90.02,Sports,Early Access,High Prices,Yes,Fan
U2423,34,Mexico City/Mexico,232,Yes,National ID,2.52,2452,Erratic,10,2207.3,4914.2,Music,Face-value Resale,High Prices,Maybe,Scalper
U1079,28,London/UK,1086,Yes,State ID,4.71,4461,Natural,4,529.91,786.66,Music,Early Access,High Prices,Yes,Fan
U1419,31,Seoul/South Korea,902,Yes,National ID,2.61,11188,Natural,2,510.81,590.09,Music,Early Access,Bot Competition,Yes,Fan
U1863,33,Mexico City/Mexico,787,Yes,National ID,3.71,10973,Natural,3,472.93,675.17,Sports,Group Booking,Bot Competition,Yes,Fan
U1542,42,London/UK,1487,Yes,Driver's License,5.04,8006,Natural,4,50,129.61,Theatre,Group Booking,High Prices,Yes,Fan
U2960,25,Tokyo/Japan,192,No,None,0.68,76,Linear,40,4952.06,15000,Sports,Face-value Resale,Bot Competition,No,Bot
U2594,35,New York/USA,415,Yes,Passport,2.8,1975,Linear,17,2965.11,6868.7,Music,Group Booking,Interface Complexity,Maybe,Scalper
U1232,32,New York/USA,1031,Yes,Driver's License,5.43,8944,Natural,7,418.99,640.09,Music,Face-value Resale,Bot Competition,Yes,Fan
U2086,30,Dubai/UAE,329,Yes,State ID,4.45,3327,Linear,18,3108.35,6815.86,Music,Early Access,Interface Complexity,Maybe,Scalper
U1402,30,Madrid/Spain,1124,Yes,National ID,4.84,5422,Natural,4,241.49,287.46,Theatre,Early Access,Bot Competition,Yes,Fan
U1317,21,Seoul/South Korea,696,Yes,Driver's License,3.57,9875,Natural,5,501.22,796.39,Music,Group Booking,Bot Competition,Yes,Fan
U2328,48,Dubai/UAE,929,Yes,Driver's License,2.12,2492,Linear,17,3725.32,8000,Sports,Early Access,Bot Competition,No,Scalper
U2300,36,Dubai/UAE,185,Yes,National ID,4.85,3523,Erratic,18,3756.72,8000,Music,Face-value Resale,Interface Complexity,Maybe,Scalper
U1144,37,Dubai/UAE,586,Yes,National ID,2.14,12940,Natural,1,380.17,510.09,Theatre,Group Booking,High Prices,Maybe,Fan
U2044,26,Toronto/Canada,554,Yes,Driver's License,2.1,3169,Linear,21,2248.59,5014.79,Music,Early Access,Interface Complexity,Maybe,Scalper
U2013,41,Singapore/Singapore,546,No,None,3.81,4542,Linear,15,2274.18,4703.62,Music,Face-value Resale,High Prices,Maybe,Scalper
U1181,26,Mumbai/India,661,Yes,Driver's License,5.79,7853,Natural,7,409.08,516.04,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2430,30,Paris/France,429,No,None,2.27,4742,Linear,10,3214.76,7261.5,Sports,Early Access,High Prices,Maybe,Scalper
U1737,24,Paris/France,806,Yes,Passport,4.09,6231,Natural,6,502.99,724.24,Sports,Face-value Resale,High Prices,Yes,Fan
U2267,34,London/UK,199,No,None,3.28,2575,Linear,20,3654.82,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U1731,30,New York/USA,432,Yes,National ID,4.55,4242,Natural,4,253.62,318.99,Music,Face-value Resale,Bot Competition,Yes,Fan
U1952,31,Los Angeles/USA,1050,Yes,Passport,4.47,8587,Natural,4,622.22,800,Music,Group Booking,Bot Competition,Yes,Fan
U1654,27,New York/USA,1009,Yes,Passport,4.45,6163,Natural,1,487.24,798.57,Music,Face-value Resale,Bot Competition,Yes,Fan
U1204,21,Seoul/South Korea,1017,Yes,National ID,3.89,7736,Natural,1,294.95,380.19,Music,Face-value Resale,Bot Competition,Yes,Fan
U1320,18,Dubai/UAE,578,Yes,State ID,6.79,4598,Natural,4,601.34,741.48,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U1293,21,New York/USA,1424,Yes,Passport,5.62,7208,Natural,6,220.87,243.26,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1668,42,Vancouver/Canada,1395,Yes,State ID,3.74,7719,Natural,4,50,80,Music,Face-value Resale,Bot Competition,Maybe,Fan
U1192,30,New York/USA,359,Yes,Driver's License,3.85,5830,Natural,2,389.73,507.85,Sports,Early Access,Bot Competition,Yes,Fan
U2849,24,Sydney/Australia,165,No,None,0.59,105,Linear,46,5268.33,15000,Sports,Early Access,Interface Complexity,No,Bot
U1658,23,Chicago/USA,684,Yes,National ID,3.39,4666,Natural,3,489.43,741.41,Sports,Group Booking,Bot Competition,Maybe,Fan
U1108,18,Chicago/USA,511,Yes,National ID,5.89,6630,Natural,4,411.55,614.33,Sports,Face-value Resale,High Prices,Yes,Fan
U2696,23,Vancouver/Canada,86,No,None,0.21,256,Linear,60,3619.85,10414.57,Sports,Early Access,High Prices,No,Bot
U1310,39,Mexico City/Mexico,873,Yes,Passport,4.45,3471,Natural,6,427.44,633.86,Sports,Group Booking,High Prices,Maybe,Fan
U2712,23,Paris/France,129,Yes,State ID,0.37,50,Linear,44,3779.57,11846.85,Music,Early Access,Bot Competition,No,Bot
U2725,33,London/UK,158,No,None,0.6,226,Linear,25,6270.7,15000,Music,Early Access,Bot Competition,No,Bot
U1357,35,Paris/France,662,Yes,Driver's License,3.56,10504,Natural,1,345.26,486.09,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U3000,30,Berlin/Germany,1,No,None,0.93,199,Linear,25,5454.04,15000,Theatre,Early Access,High Prices,No,Bot
U2609,20,London/UK,219,No,None,0.1,150,Linear,43,6037.29,15000,Theatre,Early Access,Bot Competition,No,Bot
U2393,40,Paris/France,744,No,None,2.38,2462,Linear,24,2415.31,5397.14,Sports,Face-value Resale,Interface Complexity,No,Scalper
U2811,33,Tokyo/Japan,39,No,None,0.42,225,Linear,45,6594.8,15000,Sports,Early Access,Bot Competition,No,Bot
U2791,18,London/UK,129,Yes,National ID,1.1,197,Linear,65,3422.03,8849.72,Sports,Early Access,Bot Competition,No,Bot
U1710,30,Los Angeles/USA,1610,Yes,Driver's License,4.05,4572,Natural,3,422.52,636.63,Music,Face-value Resale,High Prices,Yes,Fan
U1488,33,Toronto/Canada,900,Yes,State ID,5.98,10256,Natural,1,525.71,719.54,Sports,Group Booking,Bot Competition,Yes,Fan
U2159,43,Melbourne/Australia,579,Yes,Passport,3.44,2385,Linear,18,2826.3,5857.06,Music,Face-value Resale,High Prices,No,Scalper
U2470,46,Chicago/USA,515,No,None,3.41,3053,Erratic,18,2877.38,5886.9,Music,Early Access,Interface Complexity,Maybe,Scalper
U2473,28,Tokyo/Japan,499,No,None,3.91,3475,Linear,16,3423.29,8000,Sports,Early Access,Interface Complexity,No,Scalper
U1015,22,Tokyo/Japan,803,Yes,National ID,5.48,4722,Natural,4,655.29,788.81,Sports,Early Access,Interface Complexity,Yes,Fan
U2724,18,Dubai/UAE,306,No,None,0.92,54,Linear,46,5811.03,15000,Sports,Early Access,Bot Competition,No,Bot
U1726,44,Austin/USA,1071,Yes,Driver's License,4.98,10129,Natural,4,363.72,445.53,Theatre,Face-value Resale,High Prices,Yes,Fan
U1113,30,Dubai/UAE,1009,Yes,National ID,7.38,7655,Natural,4,609.12,800,Sports,Group Booking,High Prices,Yes,Fan
U1308,33,Austin/USA,809,Yes,National ID,3.05,8772,Natural,4,385.03,478.58,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2333,36,Dubai/UAE,485,No,None,3.95,3166,Erratic,13,1869.42,3725.29,Sports,Early Access,Interface Complexity,No,Scalper
U1279,28,Amsterdam/Netherlands,709,Yes,Passport,6.59,6996,Natural,7,566.55,800,Sports,Group Booking,Interface Complexity,Maybe,Fan
U2042,29,Amsterdam/Netherlands,756,No,None,0.5,3299,Erratic,14,3638.76,7919.61,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1031,35,Tokyo/Japan,1088,Yes,State ID,3.51,6399,Natural,5,529.87,740.15,Music,Early Access,High Prices,Maybe,Fan
U2053,27,Los Angeles/USA,60,Yes,Driver's License,2.47,1877,Erratic,15,1781.58,4211.06,Sports,Face-value Resale,Interface Complexity,Maybe,Scalper
U2707,29,Melbourne/Australia,135,Yes,Driver's License,0.99,228,Linear,56,3442.45,10618.35,Sports,Early Access,Bot Competition,No,Bot
U2547,50,Toronto/Canada,484,No,None,3.68,4345,Linear,18,3030.97,6441.9,Theatre,Early Access,Interface Complexity,No,Scalper
U2935,27,Tokyo/Japan,101,No,None,0.15,216,Linear,52,5312.34,15000,Music,Early Access,Bot Competition,No,Bot
U2902,18,Toronto/Canada,227,No,None,0.46,189,Linear,59,6399.14,15000,Music,Face-value Resale,Interface Complexity,No,Bot
U1526,27,Madrid/Spain,1225,Yes,National ID,4.75,8295,Natural,3,326.8,474.94,Theatre,Face-value Resale,High Prices,Yes,Fan
U2853,21,Tokyo/Japan,84,No,None,0.49,174,Linear,58,3841.5,11511.63,Music,Early Access,Bot Competition,No,Bot
U1159,35,Tokyo/Japan,523,Yes,Driver's License,4.85,4408,Natural,4,413.58,449.8,Sports,Face-value Resale,High Prices,Yes,Fan
U1597,18,Amsterdam/Netherlands,920,Yes,National ID,5.54,3562,Natural,5,567.12,800,Music,Group Booking,High Prices,Yes,Fan
U1788,22,Toronto/Canada,848,Yes,Driver's License,5.36,10994,Natural,5,438.31,733.47,Theatre,Face-value Resale,Interface Complexity,Yes,Fan
U2590,30,Vancouver/Canada,357,Yes,State ID,3.82,4100,Linear,25,3586.16,7865.83,Sports,Face-value Resale,Interface Complexity,No,Scalper
U2027,31,Vancouver/Canada,391,Yes,National ID,4.86,2568,Linear,20,2938.12,6695.93,Theatre,Early Access,Bot Competition,No,Scalper
U1004,32,Melbourne/Australia,719,Yes,Passport,4.15,6295,Natural,7,417.57,499.98,Sports,Early Access,High Prices,Yes,Fan
U1120,18,Berlin/Germany,1065,Yes,State ID,3.34,8063,Natural,1,311.75,462.03,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2047,27,Tokyo/Japan,315,Yes,Passport,2.21,2470,Erratic,23,2924.48,6274.93,Music,Face-value Resale,Interface Complexity,No,Scalper
U2632,22,Singapore/Singapore,202,No,None,0.75,293,Linear,55,5144.19,15000,Music,Early Access,Bot Competition,No,Bot
U1837,44,Mexico City/Mexico,502,Yes,State ID,6.88,9692,Natural,4,242.77,385.57,Sports,Group Booking,High Prices,Yes,Fan
U2540,40,London/UK,678,Yes,State ID,5.43,3081,Linear,10,2979.6,6767.83,Music,Early Access,Interface Complexity,Maybe,Scalper
U1503,36,Dubai/UAE,1597,Yes,National ID,4.48,9062,Natural,4,291.55,262.51,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2143,22,Mumbai/India,645,Yes,National ID,2.38,3743,Erratic,10,2750.98,5947.91,Sports,Early Access,High Prices,No,Scalper
U1075,31,Paris/France,1194,Yes,National ID,6.5,10335,Natural,1,189.68,215.57,Sports,Group Booking,High Prices,Yes,Fan
U1183,27,New York/USA,603,Yes,State ID,4.34,7992,Natural,3,303,437.69,Music,Face-value Resale,Bot Competition,Yes,Fan
U1909,31,São Paulo/Brazil,843,Yes,Driver's License,5.63,3975,Natural,1,452.56,594.26,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1469,18,New York/USA,1110,Yes,State ID,5.12,9039,Natural,4,494.66,800,Sports,Group Booking,Bot Competition,Yes,Fan
U2459,31,Tokyo/Japan,102,No,None,5.48,2345,Erratic,27,3095.5,6735.48,Music,Early Access,High Prices,No,Scalper
U2803,29,Seoul/South Korea,155,No,None,0.83,165,Linear,35,3490.45,10948.03,Theatre,Early Access,Bot Competition,No,Bot
U1663,40,London/UK,985,Yes,National ID,2.14,8952,Natural,6,405.41,707.14,Theatre,Group Booking,High Prices,Yes,Fan
U1267,31,Vancouver/Canada,994,Yes,Passport,5.06,3961,Natural,5,530.24,661,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1960,18,Madrid/Spain,1280,Yes,National ID,3.01,11194,Natural,3,495.33,653.73,Sports,Face-value Resale,Bot Competition,Maybe,Fan
U1125,33,Seoul/South Korea,1388,Yes,National ID,4.05,7291,Natural,2,237.34,280.33,Sports,Group Booking,High Prices,Maybe,Fan
U1283,20,Tokyo/Japan,966,Yes,Passport,5.96,6517,Natural,2,378.51,624.29,Music,Face-value Resale,Bot Competition,Yes,Fan
U1814,34,Berlin/Germany,335,Yes,Passport,3.27,8087,Natural,6,621.9,800,Theatre,Face-value Resale,Bot Competition,Yes,Fan
U2679,18,Vancouver/Canada,68,No,None,0.57,251,Linear,45,6181.89,15000,Music,Early Access,Bot Competition,No,Bot
U2701,25,Singapore/Singapore,195,No,None,0.59,149,Linear,42,4822.49,14434.43,Music,Early Access,Bot Competition,No,Bot
U2522,46,Dubai/UAE,694,Yes,Passport,1.87,3396,Linear,20,2795.32,6370.37,Sports,Early Access,Interface Complexity,No,Scalper
U1822,27,Mexico City/Mexico,945,Yes,State ID,5.35,10378,Natural,4,245.35,235.26,Theatre,Early Access,Interface Complexity,Maybe,Fan
U2019,34,Melbourne/Australia,195,Yes,Driver's License,5.97,1414,Erratic,20,1406.2,2985.27,Sports,Early Access,High Prices,No,Scalper
U1807,29,Dubai/UAE,502,Yes,Passport,5.17,9380,Natural,5,590.38,800,Theatre,Face-value Resale,High Prices,Maybe,Fan
U1559,27,Melbourne/Australia,924,Yes,National ID,4.34,10620,Natural,2,274.96,465.77,Music,Group Booking,High Prices,Yes,Fan
U1777,30,London/UK,1217,Yes,Passport,3.07,5268,Natural,1,321.15,556.04,Sports,Early Access,Interface Complexity,Maybe,Fan
U2723,18,Mexico City/Mexico,115,No,None,0.87,105,Linear,50,5149.71,15000,Sports,Early Access,Bot Competition,No,Bot
U2031,24,Toronto/Canada,622,Yes,State ID,0.59,2138,Linear,12,2859.48,5964.49,Theatre,Early Access,Bot Competition,No,Scalper
U1758,27,Melbourne/Australia,1085,Yes,National ID,6.25,10379,Natural,1,500.08,768.17,Sports,Group Booking,Bot Competition,Yes,Fan
U2905,20,São Paulo/Brazil,156,No,None,0.73,50,Linear,63,6337.3,15000,Sports,Early Access,Bot Competition,No,Bot
U1583,32,Dubai/UAE,1202,Yes,State ID,2.61,10503,Natural,4,616.52,800,Music,Face-value Resale,Interface Complexity,Yes,Fan
U2403,32,Amsterdam/Netherlands,648,Yes,Driver's License,4.79,1670,Erratic,20,2336.96,5163.7,Sports,Face-value Resale,Interface Complexity,No,Scalper
U1392,33,Tokyo/Japan,1235,Yes,Driver's License,4.72,5970,Natural,7,428.88,661.94,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1058,25,Amsterdam/Netherlands,905,Yes,Passport,6.51,8617,Natural,3,569.29,620.12,Theatre,Group Booking,High Prices,Maybe,Fan
U2969,22,São Paulo/Brazil,103,No,None,0.1,225,Linear,54,3119.36,10096.51,Music,Early Access,Bot Competition,No,Bot
U2067,34,Melbourne/Australia,594,No,None,5.14,2686,Linear,10,2318.55,4897.71,Music,Face-value Resale,Bot Competition,No,Scalper
U1492,18,London/UK,1016,Yes,Driver's License,2,4805,Natural,5,471.62,648.49,Music,Group Booking,Bot Competition,Yes,Fan
U2752,22,Seoul/South Korea,47,No,None,0.55,159,Linear,30,6409.13,15000,Sports,Early Access,Bot Competition,No,Bot
U2920,24,Austin/USA,109,Yes,Driver's License,0.79,135,Linear,48,4234.65,12794.23,Sports,Early Access,Bot Competition,Maybe,Bot
U1117,23,London/UK,1575,Yes,Passport,5.68,6987,Natural,1,832.37,800,Music,Group Booking,Bot Competition,Yes,Fan
U1899,28,Berlin/Germany,1313,Yes,National ID,2,4244,Natural,5,422.54,640,Sports,Group Booking,Interface Complexity,Yes,Fan
U1521,18,Toronto/Canada,1117,Yes,National ID,6.05,14269,Natural,1,545.81,731.35,Music,Face-value Resale,High Prices,Yes,Fan
